geneSymbol	ensemblId	geneName	overallScore	literature	genetic_association	clinical	animal_model	genetic_literature	rna_expression
GATA3	ENSG00000107485	GATA binding protein 3	0.5351869404892992	0.21107021418562166	0.8692221588391529				0.025479411842324735
CCL21	ENSG00000137077	C-C motif chemokine ligand 21	0.5347851319125727	0.5654458699306552	0.8514086406058095				
LBH	ENSG00000213626	LBH regulator of Wnt signaling pathway	0.5341764346000591	0.2549150343679721	0.8659339215251336				
IL10	ENSG00000136634	interleukin 10	0.5310891758062284	0.9579165926387938	0.678878683648354		0.2972781600320827		
SUOX	ENSG00000139531	sulfite oxidase	0.5263829391320443	0.04137306817079087	0.8637913115743926				
IFNGR2	ENSG00000159128	interferon gamma receptor 2	0.5253016483201024	0.048698634282010905	0.8616463919889525				
PTGER3	ENSG00000050628	prostaglandin E receptor 3	0.5242298873734277	0.13070512148649852	0.3912464255923688	0.7616021936745586			
PTPN2	ENSG00000175354	protein tyrosine phosphatase non-receptor type 2	0.5227746452171602	0.7066743139724773	0.824196659604144				0.017739908060810626
RUNX1	ENSG00000159216	RUNX family transcription factor 1	0.5222894891710923	0.6912592315890181	0.8178372246890224		0.2670639993907852		0.06332870520221597
CD83	ENSG00000112149	CD83 molecule	0.5217322583563333	0.1764249168650906	0.8493887024042498				
TRAF1	ENSG00000056558	TNF receptor associated factor 1	0.5172455644562155	0.8973267870008248	0.8059633381203537				
IL6	ENSG00000136244	interleukin 6	0.5150147295558882	0.9877431337296474		0.6732275766344503		0.607930797611621	
AFF3	ENSG00000144218	ALF transcription elongation factor 3	0.5122414548071849	0.38507045329368345	0.8233447744106226				
TAGAP	ENSG00000164691	T cell activation RhoGTPase activating protein	0.5119704135159183	0.22020390626804803	0.8311422594187768				
BACH2	ENSG00000112182	BACH transcriptional regulator 2	0.5107228020975911	0.23462021693402765	0.8220986217577413		0.255756486555209		
TNIP1	ENSG00000145901	TNFAIP3 interacting protein 1	0.5096305295831335	0.30030708854883165	0.8173939420877746		0.2652402069979503		
MACIR	ENSG00000181751	macrophage immunometabolism regulator	0.5096300673330755	0.15466828041813294	0.8305693489502409				
REL	ENSG00000162924	REL proto-oncogene, NF-kB subunit	0.5066385059124601	0.6547714670637744	0.794303255499159		0.2853019233191338		
EOMES	ENSG00000163508	eomesodermin	0.5035918461237012	0.09969387208888994	0.823385653978148				
ARID5B	ENSG00000150347	AT-rich interaction domain 5B	0.5027069919896892	0.17301362421735586	0.8171319535974513				0.05094877110942152
PADI2	ENSG00000117115	peptidyl arginine deiminase 2	0.5009948961582128	0.9037445528788103	0.7789113344398895				
IRF4	ENSG00000137265	interferon regulatory factor 4	0.4971338932332336	0.6797637044584078	0.7742826923104776		0.4264482562546119		
ANKRD55	ENSG00000164512	ankyrin repeat domain 55	0.49629901064264814	0.22347740462115429	0.8052003167528211				
ETV7	ENSG00000010030	ETS variant transcription factor 7	0.4899060706331081	0.1128809282398578	0.8002142396919568				
FCGR2A	ENSG00000143226	Fc gamma receptor IIa	0.4895201715494628	0.8158800925401983	0.7535406030900074		0.4900006663582667		
CD2	ENSG00000116824	CD2 molecule	0.48906137405923755	0.5281383388457954	0.7614386216888712	0.12158615952232422			0.07178042248037819
IL12RB2	ENSG00000081985	interleukin 12 receptor subunit beta 2	0.4878014776900964	0.04542594015486835	0.8001250935132221				
RTKN2	ENSG00000182010	rhotekin 2	0.4858969430931468	0.14801426225182943	0.7918628626136114				
BCL2L11	ENSG00000153094	BCL2 like 11	0.4838390787037745	0.132686703627455	0.7693214243624505		0.4721705457863493		
SYNGR1	ENSG00000100321	synaptogyrin 1	0.48288603584609047	0.2801767289559358	0.7803020254845248				
SPRED2	ENSG00000198369	sprouty related EVH1 domain containing 2	0.4796783603464134	0.18145045612046856	0.7799619564980795				
PHTF1	ENSG00000116793	putative homeodomain transcription factor 1	0.47942145844420475	0.012158615952232422	0.7880039643847164				
MLN	ENSG00000096395	motilin	0.47638376412985955	0.21810243703887516	0.7727099968448378				
TNFSF4	ENSG00000117586	TNF superfamily member 4	0.4761265610933118	0.6903507933746058	0.7486744995631546				
CD226	ENSG00000150637	CD226 molecule	0.47580424460955156	0.583054035092752	0.7535091513359521				
PLCL2	ENSG00000154822	phospholipase C like 2	0.47543726636194134	0.041769808496307036	0.7799697113142521				
AIRE	ENSG00000160224	autoimmune regulator	0.47484518109892593	0.6378806278082102	0.7429244949624834		0.2819583039322699		
ETS1	ENSG00000134954	ETS proto-oncogene 1, transcription factor	0.47049929022058495	0.6824016986618847	0.7398155210092867				
CLNK	ENSG00000109684	cytokine dependent hematopoietic cell linker	0.4686628824192124	0.030396539880581056	0.7693950275592345				
NOS2	ENSG00000007171	nitric oxide synthase 2	0.46316450237611617	0.6222557851889718	0.7100468557031626	0.15198269940290526			
HRH2	ENSG00000113749	histamine receptor H2	0.46284743745721607	0.02870784322054877		0.7599134970145264			
TNFRSF1A	ENSG00000067182	TNF receptor superfamily member 1A	0.4539066254245617	0.5632476817857539	0.7123921344760551		0.27393361740379646		
FLT3	ENSG00000122025	fms related receptor tyrosine kinase 3	0.45226827669760855	0.7886793483369935	0.6916086612203376	0.06079307976116211	0.40971496105035204		
WDFY4	ENSG00000128815	WDFY family member 4	0.4522558157599866	0.4669211457160141	0.7205804184524985				
IFNAR2	ENSG00000159110	interferon alpha and beta receptor subunit 2	0.4504810295295941	0.03822871498981077	0.7387068794386357				0.017494738479045424
ZNF438	ENSG00000183621	zinc finger protein 438	0.45045223398871526	0.030396539880581056	0.7394398936820871				
NKX2-3	ENSG00000119919	NK2 homeobox 3	0.4502420633330779	0.15839974671102794	0.7326940185709511				
IFIH1	ENSG00000115267	interferon induced with helicase C domain 1	0.44905455076459966	0.7665366691790259	0.6995369376236221				0.03585900691327946
NCF2	ENSG00000116701	neutrophil cytosolic factor 2	0.44688856088993417	0.4609910997613485	0.7114209506254338				0.028225953714245706
IL13	ENSG00000169194	interleukin 13	0.4465196347718121	0.702585603200776	0.6993616134187282				
RUNX3	ENSG00000020633	RUNX family transcription factor 3	0.4450492862675962	0.19948746031226594	0.7215577683772405				0.024306324507025343
TMEM151B	ENSG00000178233	transmembrane protein 151B	0.4427234093148694		0.7282463909612702				
RNASET2	ENSG00000026297	ribonuclease T2	0.4426299322779405	0.439765214726035	0.7051122314358947				0.044646127259715604
TNRC18	ENSG00000182095	trinucleotide repeat containing 18	0.4424651863148213	0.04914107280693938	0.7253645800935173				
TXNDC11	ENSG00000153066	thioredoxin domain containing 11	0.4392888795950913		0.7225968503667298				
B3GNT2	ENSG00000170340	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	0.43907777194350955	0.11584109233907698	0.7164575396929829				
TET3	ENSG00000187605	tet methylcytosine dioxygenase 3	0.4389294401286036	0.6732833583548703	0.6883414318199677				
NFKBIA	ENSG00000100906	NFKB inhibitor alpha	0.43891881587393833	0.35069703622988097	0.7037716266705251				0.030674032357513883
GPR35	ENSG00000178623	G protein-coupled receptor 35	0.4378358354691646	0.09574910062383032	0.7154192480825364				
IL1B	ENSG00000125538	interleukin 1 beta	0.43733177687419444	0.9682965820703873		0.6709627358962152			
PACSIN1	ENSG00000124507	protein kinase C and casein kinase substrate in neurons 1	0.43600549156461527		0.7171959263744342				
COG6	ENSG00000133103	component of oligomeric golgi complex 6	0.43419074777934036	0.11204502339314183	0.6977704361562271		0.27557503055734783		0.013738684316037395
CCN4	ENSG00000104415	cellular communication network factor 4	0.4329011740952429	0.5883525571442728	0.6826719320005573				
FAM8A1	ENSG00000137414	family with sequence similarity 8 member A1	0.43135330662825583		0.7095434354089551				
NOD2	ENSG00000167207	nucleotide binding oligomerization domain containing 2	0.43084692105352007	0.43413223788987565	0.6813041687285075		0.2564860035123429		
TNFSF15	ENSG00000181634	TNF superfamily member 15	0.4306941139056193	0.4793535029518927	0.6781943204183872		0.26505782775866676		0.03255551348732106
TNFRSF14	ENSG00000157873	TNF receptor superfamily member 14	0.4302889578529918	0.32190181872006945	0.6916975715569462				
INAVA	ENSG00000163362	innate immunity activator	0.4291041449267012		0.7038096869240812				0.04068096543281861
CIITA	ENSG00000179583	class II major histocompatibility complex transactivator	0.428343126250548	0.35600647952829795	0.6867915932835438				
DRC5	ENSG00000146221	dynein regulatory complex subunit 5	0.42784682078519143		0.7037755324554605				
RAD51B	ENSG00000182185	RAD51 paralog B	0.42709968757909966	0.35547064693679503	0.6847730227167416				
IL17F	ENSG00000112116	interleukin 17F	0.42709261226961515	0.5714140865089794		0.6739642123912806			
NFKBIL1	ENSG00000204498	NFKB inhibitor like 1	0.4258892506603865	0.20136217406498055	0.3525998626147402			0.607930797611621	
CXCL13	ENSG00000156234	C-X-C motif chemokine ligand 13	0.4257533334653421	0.905481106379621	0.6508545184766908				0.1891498942629973
TCF7	ENSG00000081059	transcription factor 7	0.4254498683005049	0.07582997578082812	0.6960412288371467				
SWAP70	ENSG00000133789	switching B cell complex subunit SWAP70	0.4254313913038579	0.1593285298740457	0.6918359078760171				
TLR1	ENSG00000174125	toll like receptor 1	0.4250974417606866	0.3066173083190722	0.6839221473130737				
C1orf141	ENSG00000203963	chromosome 1 open reading frame 141	0.424207973189699		0.6977899044698602				
AARS2	ENSG00000124608	alanyl-tRNA synthetase 2, mitochondrial	0.42385350378236575	0.01823792392834863	0.6962949330143412				
SLC22A4	ENSG00000197208	solute carrier family 22 member 4	0.4230144393139616	0.3683190389994591	0.25507509352978924			0.607930797611621	
ATG5	ENSG00000057663	autophagy related 5	0.42185946212506625	0.20392897699680748	0.6837303332484286				
GNG4	ENSG00000168243	G protein subunit gamma 4	0.41942543439251107	0.3951550184475537	0.6701652403791136				
MMEL1	ENSG00000142606	membrane metalloendopeptidase like 1	0.4178645198363179	0.10237103355359323	0.6822368537039576				
DAP	ENSG00000112977	death associated protein	0.417608511551947	0.1322249484805276	0.6803230437693238				
CSF2	ENSG00000164400	colony stimulating factor 2	0.4164623813103763	0.9417593277453277	0.19725355661347443	0.6148076197608149			
PRKCQ	ENSG00000065675	protein kinase C theta	0.41503489917953396	0.08079203026145612	0.6786612927500282				
ITPR3	ENSG00000096433	inositol 1,4,5-trisphosphate receptor type 3	0.4149264751996195	0.1866429143055995	0.6731903993338308				
ELMO1	ENSG00000155849	engulfment and cell motility 1	0.4105974934814775	0.6875666661084168	0.6410233655303557				
LTA	ENSG00000226979	lymphotoxin alpha	0.4097166059012645	0.7335394227833356		0.17940239447222228	0.3896346690659081	0.607930797611621	
SYK	ENSG00000165025	spleen associated tyrosine kinase	0.40951142544849917	0.6815130719271049		0.6380026466937687			0.06916045949629798
TNFSF11	ENSG00000120659	TNF superfamily member 11	0.40855059431007706	0.9681188757801141	0.6020266346860514	0.16587222943167076	0.25375031492309064		
ATG16L1	ENSG00000085978	autophagy related 16 like 1	0.4063413878702658	0.3537362520773506	0.6507139156807662				
TEC	ENSG00000135605	tec protein tyrosine kinase	0.4060652163791439		0.6299507723015698	0.15198269940290526			
NAB1	ENSG00000138386	NGFI-A binding protein 1	0.4055042206455243	0.1305362518204953	0.6604968391776134				
KCNK2	ENSG00000082482	potassium two pore domain channel subfamily K member 2	0.40492867070766414		0.6660769158241501				
JAZF1	ENSG00000153814	JAZF zinc finger 1	0.402743508875892	0.06759008381779204	0.659102986346111				
IL19	ENSG00000142224	interleukin 19	0.40162954347600077	0.3286524732503445	0.5226773709972604				
PLD4	ENSG00000166428	phospholipase D family member 4	0.4015313638241199	0.22717918158654868	0.6387547570573423		0.3337084130789591		
HLA-DRB1	ENSG00000196126	major histocompatibility complex, class II, DR beta 1	0.4005307909397879	0.986686548643034				0.607930797611621	0.0709925628092769
PRDM1	ENSG00000057657	PR/SET domain 1	0.39485986074825197	0.40034834723346435	0.6294970706352151				
MAGI3	ENSG00000081026	membrane associated guanylate kinase, WW and PDZ domain containing 3	0.39343428671806757	0.03647584785669727	0.645345734572658				
ACOXL	ENSG00000153093	acyl-CoA oxidase like	0.3933082159433949	0.13678442946261474	0.6401229286409704				
ENO4	ENSG00000188316	enolase 4	0.3931272186966265	0.27911745850043834	0.6327085504618277				
IKZF1	ENSG00000185811	IKAROS family zinc finger 1	0.38931341987405194	0.46709321212046057	0.6070471496682879		0.4495141639339928		
TNFSF18	ENSG00000120337	TNF superfamily member 18	0.3892656324393368	0.29011005907158666	0.6258069042622509				
MICA	ENSG00000204520	MHC class I polypeptide-related sequence A	0.3885994834941884	0.6257169034439128				0.607930797611621	
PPIA	ENSG00000196262	peptidylprolyl isomerase A	0.3875043315499821	0.5896880676452056		0.607930797611621			
SYT1	ENSG00000067715	synaptotagmin 1	0.38735217573103026	0.38604788078546154	0.6178625221860959				
GPR65	ENSG00000140030	G protein-coupled receptor 65	0.38633154717371815	0.604901725739708	0.6045172142879992				0.032569162789411146
ZNF774	ENSG00000196391	zinc finger protein 774	0.3851657432040167		0.6335684007410352				
UQCC2	ENSG00000137288	ubiquinol-cytochrome c reductase complex assembly factor 2	0.384298689115298		0.6321421626031993				
TLR4	ENSG00000136869	toll like receptor 4	0.38357571423748094	0.9288348004434586	0.5756038042619472		0.3761723792921308		0.043839466904256184
LEF1	ENSG00000138795	lymphoid enhancer binding factor 1	0.38345808262049635	0.4677331694817317	0.6066134650956381				0.034168733072297904
PPARD	ENSG00000112033	peroxisome proliferator activated receptor delta	0.3825386203833529	0.13482216394365723	0.6225058749894449				
OLIG3	ENSG00000177468	oligodendrocyte transcription factor 3	0.38115578123815663	0.23922976566924942	0.6150108295125829				
CBFA2T3	ENSG00000129993	CBFA2/RUNX1 partner transcriptional co-repressor 3	0.3798831125093666		0.6248788743748699				
MICB	ENSG00000204516	MHC class I polypeptide-related sequence B	0.3797399333817772	0.31465009397682825				0.607930797611621	0.04410239722010965
PSTPIP1	ENSG00000140368	proline-serine-threonine phosphatase interacting protein 1	0.378713014241937	0.11449363355018863	0.6172294698966295				
FLRT2	ENSG00000185070	fibronectin leucine rich transmembrane protein 2	0.3770230415833298	0.024317231904464845	0.6144968512513438				0.10274081386083804
TPD52	ENSG00000076554	tumor protein D52	0.3766419947071735	0.03495602086266821	0.6163404228639096				0.04860516741731447
