geneSymbol	ensemblId	geneName	overallScore	literature	genetic_association	clinical	animal_model	genetic_literature	rna_expression
IL18R1	ENSG00000115604	interleukin 18 receptor 1	0.33134867326466916	0.23448440346278832	0.533319187014717				
NPAS2	ENSG00000170485	neuronal PAS domain protein 2	0.3313182857930721	0.06991204172533642	0.5414978200182274				
FOSL2	ENSG00000075426	FOS like 2, AP-1 transcription factor subunit	0.33128944534630045	0.06518369107724604	0.5416867972056372				
ZC3H12C	ENSG00000149289	zinc finger CCCH-type containing 12C	0.3309537886147904	0.04255515583281348	0.5422660941319816				
LHFPL6	ENSG00000183722	LHFPL tetraspan subfamily member 6	0.3308821451876236		0.5442760039260405				
SHTN1	ENSG00000187164	shootin 1	0.33074961098799205		0.5434511851934894				0.012136200757799533
ABTB3	ENSG00000151136	ankyrin repeat and BTB domain containing 3	0.3305340265551341		0.5437033752093228				
SLC6A4	ENSG00000108576	solute carrier family 6 member 4	0.32991161694854376	0.012158615952232422		0.5420716278703621			
THOC2	ENSG00000125676	THO complex subunit 2	0.3298382335546253	0.012158615952232422	0.541950917759595				
DPP4	ENSG00000197635	dipeptidyl peptidase 4	0.32973333272324623	0.8630433172586699	0.4916897075937398		0.33949895392620977		
GLIS3	ENSG00000107249	GLIS family zinc finger 3	0.3293434022831942	0.030396539880581056	0.5402250616957466				
PTPRC	ENSG00000081237	protein tyrosine phosphatase receptor type C	0.3288455510136692	0.7355462060546292	0.49391913291995915		0.4187666791135239		0.07388733836678497
NRSN1	ENSG00000152954	neurensin 1	0.32817517905787597	0.06079307976116211	0.5367835962028822				
NDFIP1	ENSG00000131507	Nedd4 family interacting protein 1	0.32806770950852554		0.5257613315253056		0.2777027883489885		
LMO4	ENSG00000143013	LIM domain only 4	0.32787393176155766		0.5393277212631382				
RIPOR2	ENSG00000111913	RHO family interacting cell polarization regulator 2	0.327779388451417		0.5391722046969236				
DLGAP1	ENSG00000170579	DLG associated protein 1	0.32762623432400495	0.024317231904464845	0.5377044161915755				
TASL	ENSG00000120280	TLR adaptor interacting with endolysosomal SLC15A4	0.3275702712217172	0.012158615952232422	0.5382202919353758				
ALDH1A1	ENSG00000165092	aldehyde dehydrogenase 1 family member A1	0.32741616486088265		0.5385747294711885				
VWC2	ENSG00000188730	von Willebrand factor C domain containing 2	0.32698476353174083		0.5378651070423912				
CTH	ENSG00000116761	cystathionine gamma-lyase	0.32687893874416424	0.0841815285026092	0.5334819568773016				
ELANE	ENSG00000197561	elastase, neutrophil expressed	0.3264903788113393	0.10224867614654938		0.5319394479101685			
UNC5A	ENSG00000113763	unc-5 netrin receptor A	0.3262721826755452		0.5366929656424241				
CCL20	ENSG00000115009	C-C motif chemokine ligand 20	0.32622310747577987	0.4042941135190718	0.5163975349892886				
OTUD3	ENSG00000169914	OTU deubiquitinase 3	0.3260900316844532		0.5363933410933674				
SLC26A8	ENSG00000112053	solute carrier family 26 member 8	0.32596981879038234		0.5361956000107588				
SLC9A8	ENSG00000197818	solute carrier family 9 member A8	0.32572184502236484	0.012158615952232422	0.5351797711941758				
GAL	ENSG00000069482	galanin and GMAP prepropeptide	0.32570286595512754	0.7945123504534674	0.4960308653446481				
PDE3A	ENSG00000172572	phosphodiesterase 3A	0.32558788154505874	0.12727165845930355		0.5292037593209161			
TP63	ENSG00000073282	tumor protein p63	0.3249470435727041	0.38307504066203707	0.5153594604070709				
IGSF9B	ENSG00000080854	immunoglobulin superfamily member 9B	0.3247473356972903		0.5341847081495555				
CEP57	ENSG00000166037	centrosomal protein 57	0.32472723636620476		0.5341516462761243				
ZNF385D	ENSG00000151789	zinc finger protein 385D	0.32422433087277563		0.5333244049266075				
C1orf21	ENSG00000116667	chromosome 1 open reading frame 21	0.32415476431411094		0.5332099732200086				
ATXN2	ENSG00000204842	ataxin 2	0.3241168628688378	0.06642994921234986	0.529826130759891				
PSD4	ENSG00000125637	pleckstrin and Sec7 domain containing 4	0.3239965984207568		0.5329498023354678				
SP140	ENSG00000079263	SP140 nuclear body protein	0.323648311993357	0.09406040396379804	0.5276738774106741				
SLIT1	ENSG00000187122	slit guidance ligand 1	0.32340107519499955		0.5319702118490229				
ZNF366	ENSG00000178175	zinc finger protein 366	0.32322161720954296		0.5316750170897483				
FAM167A	ENSG00000154319	family with sequence similarity 167 member A	0.3230684787141335	0.07050308555634772	0.5278979616152634				
DCAF4L1	ENSG00000182308	DDB1 and CUL4 associated factor 4 like 1	0.3225864767868736		0.5306302593226395				
ZBED6	ENSG00000257315	zinc finger BED-type containing 6	0.32236689494495785		0.5302690638662185				
RPLP1	ENSG00000137818	ribosomal protein lateral stalk subunit P1	0.3209512836589146		0.5279404907924332				
PTGER4	ENSG00000171522	prostaglandin E receptor 4	0.32077076000121396	0.2622632713040832	0.49105748570113084	0.12158615952232422			0.028915584470288306
KIF21B	ENSG00000116852	kinesin family member 21B	0.3196297730330158	0.1309237043143813	0.5192205209435115				
CEMIP2	ENSG00000135048	cell migration inducing hyaluronidase 2	0.31959837434608024	0.045594809820871586	0.5230378623435779				0.017885469095985217
SLC22A25	ENSG00000196600	solute carrier family 22 member 25	0.3193864339518933		0.5097000551938238		0.3133275330890295		
CDKN2B	ENSG00000147883	cyclin dependent kinase inhibitor 2B	0.31914836933888485	0.01823792392834863	0.5240629374404434				
PCDH20	ENSG00000280165	protocadherin 20	0.31908109213239744		0.524864167740756				
RSRP1	ENSG00000117616	arginine and serine rich protein 1	0.3189345408584403		0.5246231020231893				
HDAC7	ENSG00000061273	histone deacetylase 7	0.31884035152694057	0.18237923928348632	0.515349205760786				
CCL2	ENSG00000108691	C-C motif chemokine ligand 2	0.31876995854635054	0.9535768217143753	0.47667353553132824				
OSMR	ENSG00000145623	oncostatin M receptor	0.3184903117778032	0.2604542855790316	0.5108696646382815				
NOS1	ENSG00000089250	nitric oxide synthase 1	0.3176955613793732	0.44000481354175625	0.5005848341825909				
REV3L	ENSG00000009413	REV3 like, DNA directed polymerase zeta catalytic subunit	0.31687755033852455	0.054376032453039444	0.5176020754550135				0.0413384280269814
LHX2	ENSG00000106689	LIM homeobox 2	0.3168249867343219		0.5211530456740024				
ZNF704	ENSG00000164684	zinc finger protein 704	0.3167018464357356		0.5209504892332528				
FTO	ENSG00000140718	FTO alpha-ketoglutarate dependent dioxygenase	0.3166526652953052	0.8598679648125768	0.4778761917510926				
CFAP20DC	ENSG00000163689	CFAP20 domain containing	0.3163072247346845		0.5203013664998735				
RNF186	ENSG00000178828	ring finger protein 186	0.31611978651716527		0.5199930448648197				
FRG2C	ENSG00000172969	FSHD region gene 2 family member C	0.3149074841143449		0.5179988994660618				
NR5A2	ENSG00000116833	nuclear receptor subfamily 5 group A member 2	0.31424816033585407		0.516914361914944				
NXPE1	ENSG00000095110	neurexophilin and PC-esterase domain family member 1	0.31387124969027047		0.5162943725229534				
ACTA2	ENSG00000107796	actin alpha 2, smooth muscle	0.313693445144188	0.03495602086266821	0.514254096502765				
ZC3H11A	ENSG00000058673	zinc finger CCCH-type containing 11A	0.31336505274550924		0.5154617169859252				
DMRT2	ENSG00000173253	doublesex and mab-3 related transcription factor 2	0.3129000163817691		0.5146967674792263				
CYRIB	ENSG00000153310	CYFIP related Rac1 interactor B	0.3125711525959021	0.45867083739148407	0.49122226965354815				
NUDT3	ENSG00000272325	nudix hydrolase 3	0.31232040684744494		0.5137433538068128				
ZFP36L1	ENSG00000185650	ZFP36 like 1 zinc finger CCCH-type	0.31137817244073507	0.01823792392834863	0.5112815535581388				
COL15A1	ENSG00000204291	collagen type XV alpha 1 chain	0.3106460550347242	0.06079307976116211	0.5079495182255557				
DENND1B	ENSG00000213047	DENN domain containing 1B	0.3105216691458189	0.03343619386863916	0.5087012598927817				0.01851737783207235
WDR72	ENSG00000166415	WD repeat domain 72	0.3094713989094104		0.5090569520827556				
SKI	ENSG00000157933	SKI proto-oncogene	0.3094110155550343		0.5089576260499024				
SKAP2	ENSG00000005020	src kinase associated phosphoprotein 2	0.309162442546146	0.039346632178752144	0.5065814107162631				
HMGA1	ENSG00000137309	high mobility group AT-hook 1	0.3086372299474176	0.030396539880581056	0.49291141362068774		0.2819583039322699		
NEURL1B	ENSG00000214357	neuralized E3 ubiquitin protein ligase 1B	0.3083596088803961		0.5072281419066925				
CASR	ENSG00000036828	calcium sensing receptor	0.30824188045561307	0.44451947540558295	0.48480851381712975				
TCP11	ENSG00000124678	t-complex 11	0.3081512335299975		0.5068853802778736				
ZNF831	ENSG00000124203	zinc finger protein 831	0.30782810574515695	0.012158615952232422	0.5057459288102942				
POU3F1	ENSG00000185668	POU class 3 homeobox 1	0.3077419229556078	0.09118961964174316	0.5016526144811368				
CDC42EP3	ENSG00000163171	CDC42 effector protein 3	0.3071924415136164		0.5053082402149783				
SLC26A3	ENSG00000091138	solute carrier family 26 member 3	0.30713970486338105		0.5052214924297986				
GPR55	ENSG00000135898	G protein-coupled receptor 55	0.3066162638676659	0.6779110764673015	0.4704649179149804				
RASGRF1	ENSG00000058335	Ras protein specific guanine nucleotide releasing factor 1	0.30631495853905016	0.76855445443432	0.46543712463010495				
POMGNT2	ENSG00000144647	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	0.3062754978770053		0.5037999375591276				
PCYOX1L	ENSG00000145882	prenylcysteine oxidase 1 like	0.30624342412481537		0.5037471786722346				
PDGFB	ENSG00000100311	platelet derived growth factor subunit B	0.3059002248970386	0.1544708905418714	0.49545909747563005				
PHLDB1	ENSG00000019144	pleckstrin homology like domain family B member 1	0.30582627028332016		0.5030609922787601				
IRGM	ENSG00000237693	immunity related GTPase M	0.3058126284985952	0.02870784322054877	0.5016031604177231				
MALT1	ENSG00000172175	MALT1 paracaspase	0.30554388128929005	0.870099845879913	0.45909149153225715				
NELFE	ENSG00000204356	negative elongation factor complex member E	0.3045948115277786	0.02870784322054877	0.4995999439733498				
MAF	ENSG00000178573	MAF bZIP transcription factor	0.3037437142030551	0.1119773721371491	0.4940364770548094				
ADORA3	ENSG00000282608	adenosine A3 receptor	0.303390933812704	0.439964844962584		0.4770568064591193			
SELL	ENSG00000188404	selectin L	0.3032989415045992	0.8430735865956765	0.44744065522622983		0.3953627281367377		0.04188443093001353
UBLCP1	ENSG00000164332	ubiquitin like domain containing CTD phosphatase 1	0.30224107924464433	0.13222494848052757	0.4905523778307879				
SERPINA5	ENSG00000188488	serpin family A member 5	0.3017193068293108		0.49630534925138853				
C8A	ENSG00000157131	complement C8 alpha chain	0.30162883505716515		0.49615653005601124				
KLF12	ENSG00000118922	KLF transcription factor 12	0.30102004369313773	0.2110870825040351	0.48407517978351755				0.02365112613975069
VGLL2	ENSG00000170162	vestigial like family member 2	0.300345884969568		0.49404617458029343				
USP44	ENSG00000136014	ubiquitin specific peptidase 44	0.30015306796893715		0.49372900525544866				
RAB5B	ENSG00000111540	RAB5B, member RAS oncogene family	0.3000242188647053		0.49351705826289943				
